b03,b04,b05,KODE_KAB
laki-laki,35.0,SMP dan sederajat,Sleman
laki-laki,44.0,SMA dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,45.0,SMA dan sederajat,Gunung Kidul
laki-laki,67.0,S1 dan sederajat,Sleman
laki-laki,50.0,SMA dan sederajat,Sleman
laki-laki,56.0,SMP dan sederajat, Kota Yogyakarta
laki-laki,36.0,SMP dan sederajat,Gunung Kidul
laki-laki,43.0,SMA dan sederajat,Sleman
laki-laki,59.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,60.0,Tidak Sekolah,Bantul
laki-laki,53.0,SMP dan sederajat,Bantul
laki-laki,40.0,S1 dan sederajat,Gunung Kidul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,65.0,S1 dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Bantul
laki-laki,62.0,S2 dan sederajat,Bantul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,47.0,SMA dan sederajat,Gunung Kidul
laki-laki,31.0,SMA dan sederajat,Gunung Kidul
laki-laki,70.0,SD dan sederajat,Kulon Progo
laki-laki,58.0,SMA dan sederajat,Bantul
laki-laki,56.0,SMA dan sederajat,Kulon Progo
laki-laki,66.0,S1 dan sederajat,Kulon Progo
laki-laki,49.0,S1 dan sederajat,Kulon Progo
laki-laki,31.0,SMA dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat,Sleman
laki-laki,59.0,SMP dan sederajat,Bantul
laki-laki,55.0,S1 dan sederajat,Bantul
laki-laki,53.0,S1 dan sederajat,Gunung Kidul
laki-laki,56.0,SMP dan sederajat,Sleman
laki-laki,40.0,S1 dan sederajat,Sleman
laki-laki,33.0,SMP dan sederajat,Bantul
laki-laki,40.0,SMA dan sederajat,Bantul
laki-laki,77.0,SMA dan sederajat,Kulon Progo
laki-laki,47.0,SMA dan sederajat,Kulon Progo
laki-laki,47.0,SMA dan sederajat,Bantul
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,65.0,SMA dan sederajat,Sleman
laki-laki,62.0,S1 dan sederajat,Sleman
laki-laki,60.0,SMA dan sederajat,Sleman
laki-laki,50.0,SD dan sederajat,Gunung Kidul
laki-laki,59.0,S1 dan sederajat,Gunung Kidul
laki-laki,62.0,SMA dan sederajat,Gunung Kidul
perempuan,49.0,S1 dan sederajat,Bantul
laki-laki,55.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SD dan sederajat,Gunung Kidul
laki-laki,29.0,S1 dan sederajat,Sleman
